distance_km,hour,day_of_week,area_type,historical_speed,eta_minutes
8.77,19,Sunday,residential,21.62,36.51
4.71,6,Wednesday,residential,19.99,14.14
2.31,6,Friday,residential,35.31,3.93
13.64,14,Sunday,residential,23.73,34.49
5.0,11,Friday,residential,24.71,12.14
15.0,4,Wednesday,commercial,26.15,41.3
3.34,21,Monday,residential,30.1,6.66
4.74,23,Sunday,commercial,22.45,15.2
1.42,11,Tuesday,commercial,15.73,6.5
3.34,3,Wednesday,residential,25.4,7.89
12.85,18,Friday,commercial,22.37,58.59
3.28,9,Friday,residential,19.02,15.52
11.59,17,Wednesday,commercial,17.37,68.06
19.02,19,Sunday,commercial,32.57,59.57
21.52,1,Sunday,residential,20.53,62.89
8.82,16,Sunday,commercial,38.8,16.37
7.48,4,Monday,commercial,28.44,18.94
6.72,19,Monday,residential,39.85,15.18
11.57,14,Thursday,commercial,22.79,36.55
13.84,10,Friday,commercial,28.76,49.08
22.52,0,Sunday,commercial,20.4,79.48
8.27,18,Friday,commercial,32.11,26.27
2.21,13,Monday,commercial,21.2,7.51
15.35,22,Tuesday,commercial,31.96,34.58
14.33,11,Friday,commercial,16.24,63.53
10.14,18,Friday,commercial,22.69,45.58
18.75,16,Sunday,commercial,32.97,40.95
16.51,8,Thursday,commercial,25.21,66.8
21.86,11,Friday,residential,29.13,45.03
15.55,2,Saturday,commercial,27.44,40.8
12.56,21,Friday,commercial,24.87,36.36
11.78,15,Thursday,residential,30.38,23.27
4.08,18,Monday,commercial,20.92,19.89
16.59,5,Tuesday,commercial,33.75,35.39
9.68,0,Thursday,residential,18.23,31.86
19.28,20,Sunday,residential,39.13,29.56
12.53,0,Monday,residential,24.28,30.96
10.57,20,Wednesday,commercial,28.98,26.26
8.84,0,Saturday,commercial,24.06,26.45
7.7,19,Sunday,commercial,22.29,35.24
2.54,9,Thursday,commercial,34.18,7.58
2.29,8,Sunday,residential,23.49,8.77
11.36,9,Tuesday,commercial,33.2,34.9
12.79,2,Wednesday,residential,28.08,27.33
20.76,23,Saturday,commercial,28.77,51.95
3.67,9,Thursday,commercial,27.12,13.8
13.41,23,Sunday,commercial,37.53,25.73
7.07,20,Saturday,residential,19.06,22.26
10.39,2,Monday,residential,28.48,21.89
6.74,13,Sunday,residential,38.37,10.54
4.23,5,Friday,residential,19.56,12.98
15.47,19,Monday,residential,36.3,38.36
9.4,20,Thursday,residential,29.07,19.4
10.28,1,Sunday,commercial,24.7,29.97
14.37,8,Tuesday,residential,26.44,48.91
15.43,18,Wednesday,residential,19.99,69.47
16.71,6,Friday,residential,21.13,47.45
4.97,20,Sunday,commercial,19.42,18.43
14.17,14,Sunday,commercial,36.05,28.3
22.04,16,Friday,commercial,16.84,94.23
1.95,5,Tuesday,commercial,36.52,3.84
17.11,11,Sunday,commercial,31.02,39.71
5.12,22,Wednesday,residential,33.42,9.19
1.19,22,Sunday,commercial,37.72,2.27
23.65,13,Friday,commercial,19.93,85.44
1.72,20,Sunday,residential,36.93,2.79
23.13,17,Sunday,residential,26.89,77.42
11.71,15,Friday,residential,27.85,25.23
11.74,13,Saturday,residential,16.91,41.66
19.84,11,Saturday,residential,23.15,51.42
24.62,3,Monday,residential,17.01,86.84
3.55,9,Saturday,commercial,35.77,10.12
4.72,7,Wednesday,residential,27.02,10.48
6.83,0,Friday,residential,19.61,20.9
11.21,17,Tuesday,residential,33.42,30.19
19.55,2,Sunday,commercial,39.53,35.61
23.88,20,Thursday,residential,33.76,42.44
5.02,23,Wednesday,residential,24.0,12.55
22.23,16,Monday,commercial,19.07,83.93
23.72,21,Thursday,residential,15.89,89.57
